"","Survived","Pclass","Sex","Edad","Familia"
"673","Fallece","2","male","3edad","Small"
"674","Sobrevive","2","male","adulto","Small"
"675","Fallece","2","male","adulto","Small"
"676","Fallece","3","male","joven","Small"
"677","Fallece","3","male","joven","Small"
"678","Sobrevive","3","female","joven","Small"
"679","Fallece","3","female","adulto","Big"
"680","Sobrevive","1","male","adulto","Medium"
"681","Fallece","3","female","joven","Small"
"682","Sobrevive","1","male","joven","Small"
"683","Fallece","3","male","joven","Small"
"684","Fallece","3","male","adolescente","Big"
"685","Fallece","2","male","3edad","Medium"
"686","Fallece","2","male","joven","Medium"
"687","Fallece","3","male","adolescente","Big"
"688","Fallece","3","male","joven","Small"
"689","Fallece","3","male","joven","Small"
"690","Sobrevive","1","female","adolescente","Medium"
"691","Sobrevive","1","male","adulto","Medium"
"692","Sobrevive","3","female","niño","Medium"
"693","Sobrevive","3","male","adulto","Small"
"694","Fallece","3","male","joven","Small"
"695","Fallece","1","male","3edad","Small"
"696","Fallece","2","male","adulto","Small"
"697","Fallece","3","male","adulto","Small"
"698","Sobrevive","3","female","joven","Small"
"699","Fallece","1","male","adulto","Medium"
"700","Fallece","3","male","adulto","Small"
"701","Sobrevive","1","female","joven","Medium"
"702","Sobrevive","1","male","adulto","Small"
"703","Fallece","3","female","joven","Medium"
"704","Fallece","3","male","joven","Small"
"705","Fallece","3","male","joven","Medium"
"706","Fallece","2","male","adulto","Small"
"707","Sobrevive","2","female","adulto","Small"
"708","Sobrevive","1","male","adulto","Small"
"709","Sobrevive","1","female","joven","Small"
"710","Sobrevive","3","male","adulto","Medium"
"711","Sobrevive","1","female","joven","Small"
"712","Fallece","1","male","adulto","Small"
"713","Sobrevive","1","male","adulto","Medium"
"714","Fallece","3","male","joven","Small"
"715","Fallece","2","male","adulto","Small"
"716","Fallece","3","male","joven","Small"
"717","Sobrevive","1","female","adulto","Small"
"718","Sobrevive","2","female","joven","Small"
"719","Fallece","3","male","adulto","Small"
"720","Fallece","3","male","adulto","Small"
"721","Sobrevive","2","female","niño","Medium"
"722","Fallece","3","male","adolescente","Medium"
"723","Fallece","2","male","adulto","Small"
"724","Fallece","2","male","adulto","Small"
"725","Sobrevive","1","male","joven","Medium"
"726","Fallece","3","male","joven","Small"
"727","Sobrevive","2","female","adulto","Medium"
"728","Sobrevive","3","female","joven","Small"
"729","Fallece","2","male","joven","Medium"
"730","Fallece","3","female","joven","Medium"
"731","Sobrevive","1","female","joven","Small"
"732","Fallece","3","male","niño","Small"
"733","Fallece","2","male","adulto","Small"
"734","Fallece","2","male","joven","Small"
"735","Fallece","2","male","joven","Small"
"736","Fallece","3","male","joven","Small"
"737","Fallece","3","female","adulto","Big"
"738","Sobrevive","1","male","adulto","Small"
"739","Fallece","3","male","adulto","Small"
"740","Fallece","3","male","adulto","Small"
"741","Sobrevive","1","male","adulto","Small"
"742","Fallece","1","male","adulto","Medium"
"743","Sobrevive","1","female","joven","Big"
"744","Fallece","3","male","joven","Medium"
"745","Sobrevive","3","male","adulto","Small"
"746","Fallece","1","male","3edad","Medium"
"747","Fallece","3","male","adolescente","Medium"
"748","Sobrevive","2","female","adulto","Small"
"749","Fallece","1","male","joven","Medium"
"750","Fallece","3","male","adulto","Small"
"751","Sobrevive","2","female","niño","Medium"
"752","Sobrevive","3","male","niño","Medium"
"753","Fallece","3","male","adulto","Small"
"754","Fallece","3","male","joven","Small"
"755","Sobrevive","2","female","adulto","Medium"
"756","Sobrevive","2","male","bebe","Medium"
"757","Fallece","3","male","joven","Small"
"758","Fallece","2","male","joven","Small"
"759","Fallece","3","male","adulto","Small"
"760","Sobrevive","1","female","adulto","Small"
"761","Fallece","3","male","adulto","Small"
"762","Fallece","3","male","adulto","Small"
"763","Sobrevive","3","male","joven","Small"
"764","Sobrevive","1","female","adulto","Medium"
"765","Fallece","3","male","adolescente","Small"
"766","Sobrevive","1","female","adulto","Medium"
"767","Fallece","1","male","adulto","Small"
"768","Fallece","3","female","adulto","Small"
"769","Fallece","3","male","adulto","Medium"
"770","Fallece","3","male","adulto","Small"
"771","Fallece","3","male","joven","Small"
"772","Fallece","3","male","adulto","Small"
"773","Fallece","2","female","3edad","Small"
"774","Fallece","3","male","adulto","Small"
"775","Sobrevive","2","female","adulto","Big"
"776","Fallece","3","male","joven","Small"
"777","Fallece","3","male","adulto","Small"
"778","Sobrevive","3","female","niño","Small"
"779","Fallece","3","male","adulto","Small"
"780","Sobrevive","1","female","adulto","Medium"
"781","Sobrevive","3","female","adolescente","Small"
"782","Sobrevive","1","female","adolescente","Medium"
"783","Fallece","1","male","joven","Small"
"784","Fallece","3","male","adulto","Medium"
"785","Fallece","3","male","joven","Small"
"786","Fallece","3","male","joven","Small"
"787","Sobrevive","3","female","joven","Small"
"788","Fallece","3","male","niño","Big"
"789","Sobrevive","3","male","bebe","Medium"
"790","Fallece","1","male","adulto","Small"
"791","Fallece","3","male","adulto","Small"
"792","Fallece","2","male","adolescente","Small"
"793","Fallece","3","female","joven","Big"
"794","Fallece","1","male","adulto","Small"
"795","Fallece","3","male","joven","Small"
"796","Fallece","2","male","adulto","Small"
"797","Sobrevive","1","female","adulto","Small"
"798","Sobrevive","3","female","adulto","Small"
"799","Fallece","3","male","adulto","Small"
"800","Fallece","3","female","adulto","Medium"
"801","Fallece","2","male","adulto","Small"
"802","Sobrevive","2","female","adulto","Medium"
"803","Sobrevive","1","male","niño","Medium"
"804","Sobrevive","3","male","bebe","Medium"
"805","Sobrevive","3","male","joven","Small"
"806","Fallece","3","male","adulto","Small"
"807","Fallece","1","male","adulto","Small"
"808","Fallece","3","female","joven","Small"
"809","Fallece","2","male","adulto","Small"
"810","Sobrevive","1","female","adulto","Medium"
"811","Fallece","3","male","joven","Small"
"812","Fallece","3","male","adulto","Small"
"813","Fallece","2","male","adulto","Small"
"814","Fallece","3","female","niño","Big"
"815","Fallece","3","male","adulto","Small"
"816","Fallece","1","male","adulto","Small"
"817","Fallece","3","female","joven","Small"
"818","Fallece","2","male","adulto","Medium"
"819","Fallece","3","male","adulto","Small"
"820","Fallece","3","male","niño","Big"
"821","Sobrevive","1","female","adulto","Medium"
"822","Sobrevive","3","male","joven","Small"
"823","Fallece","1","male","adulto","Small"
"824","Sobrevive","3","female","joven","Medium"
"825","Fallece","3","male","bebe","Big"
"826","Fallece","3","male","adulto","Small"
"827","Fallece","3","male","adulto","Small"
"828","Sobrevive","2","male","bebe","Medium"
"829","Sobrevive","3","male","adulto","Small"
"830","Sobrevive","1","female","3edad","Small"
"831","Sobrevive","3","female","adolescente","Medium"
"832","Sobrevive","2","male","bebe","Medium"
"833","Fallece","3","male","adulto","Small"
"834","Fallece","3","male","joven","Small"
"835","Fallece","3","male","joven","Small"
"836","Sobrevive","1","female","adulto","Medium"
"837","Fallece","3","male","joven","Small"
"838","Fallece","3","male","adulto","Small"
"839","Sobrevive","3","male","adulto","Small"
"840","Sobrevive","1","male","adulto","Small"
"841","Fallece","3","male","joven","Small"
"842","Fallece","2","male","adolescente","Small"
"843","Sobrevive","1","female","adulto","Small"
"844","Fallece","3","male","adulto","Small"
"845","Fallece","3","male","adolescente","Small"
"846","Fallece","3","male","adulto","Small"
"847","Fallece","3","male","adulto","Big"
"848","Fallece","3","male","adulto","Small"
"849","Fallece","2","male","joven","Medium"
"850","Sobrevive","1","female","joven","Medium"
"851","Fallece","3","male","niño","Big"
"852","Fallece","3","male","3edad","Small"
"853","Fallece","3","female","niño","Medium"
"854","Sobrevive","1","female","adolescente","Medium"
"855","Fallece","2","female","adulto","Medium"
"856","Sobrevive","3","female","joven","Medium"
"857","Sobrevive","1","female","adulto","Medium"
"858","Sobrevive","1","male","adulto","Small"
"859","Sobrevive","3","female","joven","Medium"
"860","Fallece","3","male","adulto","Small"
"861","Fallece","3","male","adulto","Medium"
"862","Fallece","2","male","joven","Medium"
"863","Sobrevive","1","female","adulto","Small"
"864","Fallece","3","female","joven","Big"
"865","Fallece","2","male","joven","Small"
"866","Sobrevive","2","female","adulto","Small"
"867","Sobrevive","2","female","joven","Medium"
"868","Fallece","1","male","adulto","Small"
"869","Fallece","3","male","adulto","Small"
"870","Sobrevive","3","male","niño","Medium"
"871","Fallece","3","male","joven","Small"
"872","Sobrevive","1","female","adulto","Medium"
"873","Fallece","1","male","adulto","Small"
"874","Fallece","3","male","adulto","Small"
"875","Sobrevive","2","female","joven","Medium"
"876","Sobrevive","3","female","adolescente","Small"
"877","Fallece","3","male","joven","Small"
"878","Fallece","3","male","joven","Small"
"879","Fallece","3","male","adulto","Small"
"880","Sobrevive","1","female","3edad","Medium"
"881","Sobrevive","2","female","joven","Medium"
"882","Fallece","3","male","adulto","Small"
"883","Fallece","3","female","joven","Small"
"884","Fallece","2","male","joven","Small"
"885","Fallece","3","male","joven","Small"
"886","Fallece","3","female","adulto","Big"
"887","Fallece","2","male","joven","Small"
"888","Sobrevive","1","female","joven","Small"
"889","Fallece","3","female","joven","Medium"
"890","Sobrevive","1","male","joven","Small"
"891","Fallece","3","male","adulto","Small"
"892","Fallece","3","male","adulto","Small"
"893","Sobrevive","3","female","adulto","Medium"
"894","Fallece","2","male","3edad","Small"
"895","Fallece","3","male","joven","Small"
"896","Sobrevive","3","female","joven","Medium"
"897","Fallece","3","male","adolescente","Small"
"898","Sobrevive","3","female","adulto","Small"
"899","Fallece","2","male","joven","Medium"
"900","Sobrevive","3","female","joven","Small"
"901","Fallece","3","male","joven","Medium"
"902","Fallece","3","male","adulto","Small"
"903","Fallece","1","male","adulto","Small"
"904","Sobrevive","1","female","joven","Medium"
"905","Fallece","2","male","3edad","Medium"
"906","Sobrevive","1","female","adulto","Medium"
"907","Sobrevive","2","female","joven","Medium"
"908","Fallece","2","male","adulto","Small"
"909","Fallece","3","male","joven","Small"
"910","Sobrevive","3","female","joven","Medium"
"911","Sobrevive","3","female","adulto","Small"
"912","Fallece","1","male","adulto","Medium"
"913","Fallece","3","male","niño","Medium"
"914","Sobrevive","1","female","joven","Small"
"915","Fallece","1","male","joven","Medium"
"916","Sobrevive","1","female","adulto","Big"
"917","Fallece","3","male","adulto","Medium"
"918","Sobrevive","1","female","joven","Medium"
"919","Fallece","3","male","joven","Small"
"920","Fallece","1","male","adulto","Small"
"921","Fallece","3","male","adulto","Medium"
"922","Fallece","2","male","adulto","Medium"
"923","Fallece","2","male","joven","Medium"
"924","Sobrevive","3","female","adulto","Medium"
"925","Sobrevive","3","female","joven","Medium"
"926","Fallece","1","male","adulto","Medium"
"927","Fallece","3","male","joven","Small"
"928","Sobrevive","3","female","joven","Small"
"929","Sobrevive","3","female","joven","Small"
"930","Fallece","3","male","joven","Small"
"931","Fallece","3","male","adulto","Small"
"932","Fallece","3","male","adulto","Medium"
"933","Fallece","1","male","adulto","Small"
"934","Fallece","3","male","adulto","Small"
"935","Sobrevive","2","female","adulto","Small"
"936","Sobrevive","1","female","adulto","Medium"
"937","Fallece","3","male","joven","Small"
"938","Fallece","1","male","adulto","Small"
"939","Fallece","3","male","adulto","Small"
"940","Sobrevive","1","female","3edad","Small"
"941","Sobrevive","3","female","adulto","Medium"
"942","Fallece","1","male","joven","Medium"
"943","Fallece","2","male","joven","Small"
"944","Sobrevive","2","female","joven","Medium"
"945","Sobrevive","1","female","joven","Big"
"946","Fallece","2","male","adulto","Small"
"947","Fallece","3","male","niño","Big"
"948","Fallece","3","male","adulto","Small"
"949","Fallece","3","male","joven","Small"
"950","Fallece","3","male","adulto","Medium"
"951","Sobrevive","1","female","adulto","Small"
"952","Fallece","3","male","adolescente","Small"
"953","Fallece","2","male","adulto","Small"
"954","Fallece","3","male","joven","Small"
"955","Sobrevive","3","female","joven","Small"
"956","Fallece","1","male","adolescente","Big"
"957","Sobrevive","2","female","joven","Small"
"958","Sobrevive","3","female","joven","Small"
"959","Fallece","1","male","adulto","Small"
"960","Fallece","1","male","adulto","Small"
"961","Sobrevive","1","female","3edad","Big"
"962","Sobrevive","3","female","joven","Small"
"963","Fallece","3","male","joven","Small"
"964","Sobrevive","3","female","joven","Small"
"965","Fallece","1","male","joven","Small"
"966","Sobrevive","1","female","adulto","Small"
"967","Fallece","1","male","adulto","Small"
"968","Fallece","3","male","adulto","Small"
"969","Sobrevive","1","female","adulto","Medium"
"970","Fallece","2","male","adulto","Small"
"971","Sobrevive","3","female","joven","Small"
"972","Fallece","3","male","niño","Medium"
"973","Fallece","1","male","3edad","Medium"
"974","Fallece","1","male","adulto","Small"
"975","Fallece","3","male","adulto","Small"
"976","Fallece","2","male","adulto","Small"
"977","Fallece","3","male","adulto","Medium"
"978","Sobrevive","3","female","joven","Small"
"979","Sobrevive","3","female","joven","Small"
"980","Sobrevive","3","female","joven","Small"
"981","Fallece","2","male","bebe","Medium"
"982","Sobrevive","3","female","joven","Medium"
"983","Fallece","3","male","adulto","Small"
"984","Sobrevive","1","female","joven","Medium"
"985","Fallece","3","male","adulto","Small"
"986","Fallece","1","male","joven","Small"
"987","Fallece","3","male","joven","Small"
"988","Sobrevive","1","female","3edad","Medium"
"989","Fallece","3","male","joven","Small"
"990","Sobrevive","3","female","joven","Small"
"991","Fallece","3","male","adulto","Small"
"992","Sobrevive","1","female","adulto","Medium"
"993","Fallece","2","male","joven","Medium"
"994","Fallece","3","male","adulto","Small"
"995","Fallece","3","male","joven","Small"
"996","Sobrevive","3","female","adolescente","Medium"
"997","Fallece","3","male","joven","Small"
"998","Fallece","3","male","joven","Small"
"999","Fallece","3","male","adulto","Small"
"1000","Fallece","3","male","adulto","Small"
"1001","Fallece","2","male","joven","Small"
"1002","Fallece","2","male","adulto","Small"
"1003","Sobrevive","3","female","joven","Small"
"1004","Sobrevive","1","female","adulto","Small"
"1005","Sobrevive","3","female","joven","Small"
"1006","Sobrevive","1","female","3edad","Medium"
"1007","Fallece","3","male","joven","Medium"
"1008","Fallece","3","male","adulto","Small"
"1009","Sobrevive","3","female","bebe","Medium"
"1010","Fallece","1","male","adulto","Small"
"1011","Sobrevive","2","female","joven","Medium"
"1012","Sobrevive","2","female","niño","Small"
"1013","Fallece","3","male","adulto","Medium"
"1014","Sobrevive","1","female","adulto","Medium"
"1015","Fallece","3","male","joven","Small"
"1016","Fallece","3","male","adulto","Small"
"1017","Sobrevive","3","female","adolescente","Medium"
"1018","Fallece","3","male","joven","Small"
"1019","Sobrevive","3","female","joven","Medium"
"1020","Fallece","2","male","adulto","Small"
"1021","Fallece","3","male","joven","Small"
"1022","Fallece","3","male","adulto","Small"
"1023","Fallece","1","male","adulto","Small"
"1024","Sobrevive","3","female","joven","Big"
"1025","Fallece","3","male","adulto","Medium"
"1026","Fallece","3","male","adulto","Small"
"1027","Fallece","3","male","joven","Small"
"1028","Fallece","3","male","joven","Small"
"1029","Fallece","2","male","joven","Small"
"1030","Sobrevive","3","female","joven","Small"
"1031","Fallece","3","male","adulto","Big"
"1032","Sobrevive","3","female","niño","Big"
"1033","Sobrevive","1","female","adulto","Small"
"1034","Fallece","1","male","3edad","Big"
"1035","Fallece","2","male","joven","Small"
"1036","Fallece","1","male","adulto","Small"
"1037","Fallece","3","male","adulto","Medium"
"1038","Fallece","1","male","adulto","Small"
"1039","Fallece","3","male","joven","Small"
"1040","Fallece","1","male","adulto","Small"
"1041","Fallece","2","male","adulto","Medium"
"1042","Sobrevive","1","female","joven","Medium"
"1043","Fallece","3","male","adulto","Small"
"1044","Fallece","3","male","3edad","Small"
"1045","Sobrevive","3","female","adulto","Medium"
"1046","Fallece","3","male","adolescente","Big"
"1047","Fallece","3","male","joven","Small"
"1048","Sobrevive","1","female","joven","Small"
"1049","Sobrevive","3","female","joven","Small"
"1050","Fallece","1","male","adulto","Small"
"1051","Sobrevive","3","female","joven","Medium"
"1052","Sobrevive","3","female","joven","Small"
"1053","Fallece","3","male","niño","Medium"
"1054","Sobrevive","2","female","joven","Small"
"1055","Fallece","3","male","adulto","Small"
"1056","Fallece","2","male","adulto","Small"
"1057","Sobrevive","3","female","joven","Medium"
"1058","Fallece","1","male","adulto","Small"
"1059","Fallece","3","male","joven","Big"
"1060","Sobrevive","1","female","joven","Small"
"1061","Sobrevive","3","female","joven","Small"
"1062","Fallece","3","male","adulto","Small"
"1063","Fallece","3","male","joven","Small"
"1064","Fallece","3","male","joven","Medium"
"1065","Fallece","3","male","adulto","Small"
"1066","Fallece","3","male","adulto","Big"
"1067","Sobrevive","2","female","adolescente","Medium"
"1068","Sobrevive","2","female","joven","Small"
"1069","Fallece","1","male","adulto","Medium"
"1070","Sobrevive","2","female","adulto","Medium"
"1071","Sobrevive","1","female","3edad","Medium"
"1072","Fallece","2","male","adulto","Small"
"1073","Fallece","1","male","adulto","Medium"
"1074","Sobrevive","1","female","joven","Medium"
"1075","Fallece","3","male","adulto","Small"
"1076","Sobrevive","1","female","joven","Medium"
"1077","Fallece","2","male","adulto","Small"
"1078","Sobrevive","2","female","joven","Medium"
"1079","Fallece","3","male","adolescente","Medium"
"1080","Sobrevive","3","female","joven","Big"
"1081","Fallece","2","male","adulto","Small"
"1082","Fallece","2","male","adulto","Medium"
"1083","Fallece","1","male","adulto","Small"
"1084","Fallece","3","male","niño","Medium"
"1085","Fallece","2","male","3edad","Small"
"1086","Fallece","2","male","niño","Medium"
"1087","Fallece","3","male","adulto","Small"
"1088","Fallece","1","male","niño","Medium"
"1089","Sobrevive","3","female","joven","Small"
"1090","Fallece","2","male","joven","Small"
"1091","Sobrevive","3","female","joven","Small"
"1092","Sobrevive","3","female","joven","Small"
"1093","Fallece","3","male","bebe","Medium"
"1094","Fallece","1","male","adulto","Medium"
"1095","Sobrevive","2","female","niño","Medium"
"1096","Fallece","2","male","joven","Small"
"1097","Fallece","1","male","adulto","Small"
"1098","Sobrevive","3","female","adulto","Small"
"1099","Fallece","2","male","joven","Small"
"1100","Sobrevive","1","female","adulto","Small"
"1101","Fallece","3","male","joven","Small"
"1102","Fallece","3","male","adulto","Small"
"1103","Fallece","3","male","adulto","Small"
"1104","Fallece","2","male","adolescente","Small"
"1105","Sobrevive","2","female","3edad","Medium"
"1106","Sobrevive","3","female","adulto","Big"
"1107","Fallece","1","male","adulto","Small"
"1108","Sobrevive","3","female","joven","Small"
"1109","Fallece","1","male","3edad","Medium"
"1110","Sobrevive","1","female","adulto","Medium"
"1111","Fallece","3","male","adulto","Small"
"1112","Sobrevive","2","female","adulto","Medium"
"1113","Fallece","3","male","joven","Small"
"1114","Sobrevive","2","female","joven","Small"
"1115","Fallece","3","male","joven","Small"
"1116","Sobrevive","1","female","adulto","Small"
"1117","Sobrevive","3","female","joven","Medium"
"1118","Fallece","3","male","joven","Small"
"1119","Sobrevive","3","female","joven","Small"
"1120","Fallece","3","male","adulto","Small"
"1121","Fallece","2","male","adulto","Small"
"1122","Fallece","2","male","adolescente","Small"
"1123","Sobrevive","1","female","joven","Small"
"1124","Fallece","3","male","joven","Medium"
"1125","Fallece","3","male","adulto","Small"
"1126","Fallece","1","male","adulto","Medium"
"1127","Fallece","3","male","joven","Small"
"1128","Fallece","1","male","3edad","Medium"
"1129","Fallece","3","male","joven","Small"
"1130","Sobrevive","2","female","joven","Medium"
"1131","Sobrevive","1","female","adulto","Medium"
"1132","Sobrevive","1","female","adulto","Small"
"1133","Sobrevive","2","female","adulto","Medium"
"1134","Fallece","1","male","adulto","Medium"
"1135","Fallece","3","male","adulto","Small"
"1136","Fallece","3","male","adulto","Medium"
"1137","Fallece","1","male","adulto","Medium"
"1138","Sobrevive","2","female","joven","Small"
"1139","Fallece","2","male","adulto","Medium"
"1140","Sobrevive","2","female","joven","Medium"
"1141","Sobrevive","3","female","joven","Medium"
"1142","Sobrevive","2","female","bebe","Medium"
"1143","Fallece","3","male","joven","Small"
"1144","Fallece","1","male","joven","Medium"
"1145","Fallece","3","male","joven","Small"
"1146","Fallece","3","male","adulto","Small"
"1147","Fallece","3","male","adulto","Small"
"1148","Fallece","3","male","adulto","Small"
"1149","Fallece","3","male","joven","Small"
"1150","Sobrevive","2","female","joven","Small"
"1151","Fallece","3","male","joven","Small"
"1152","Fallece","3","male","adulto","Medium"
"1153","Fallece","3","male","joven","Small"
"1154","Sobrevive","2","female","joven","Medium"
"1155","Sobrevive","3","female","bebe","Medium"
"1156","Fallece","2","male","adulto","Small"
"1157","Fallece","3","male","adulto","Small"
"1158","Fallece","1","male","adulto","Small"
"1159","Fallece","3","male","adulto","Small"
"1160","Sobrevive","3","female","joven","Small"
"1161","Fallece","3","male","adolescente","Small"
"1162","Fallece","1","male","adulto","Small"
"1163","Fallece","3","male","adulto","Small"
"1164","Sobrevive","1","female","joven","Medium"
"1165","Sobrevive","3","female","joven","Medium"
"1166","Fallece","3","male","adulto","Small"
"1167","Sobrevive","2","female","joven","Medium"
"1168","Fallece","2","male","joven","Small"
"1169","Fallece","2","male","adulto","Medium"
"1170","Fallece","2","male","adulto","Medium"
"1171","Fallece","2","male","joven","Small"
"1172","Sobrevive","3","female","joven","Small"
"1173","Fallece","3","male","bebe","Medium"
"1174","Sobrevive","3","female","joven","Small"
"1175","Sobrevive","3","female","niño","Medium"
"1176","Sobrevive","3","female","bebe","Medium"
"1177","Fallece","3","male","adulto","Small"
"1178","Fallece","3","male","adulto","Small"
"1179","Fallece","1","male","joven","Medium"
"1180","Fallece","3","male","adulto","Small"
"1181","Fallece","3","male","adulto","Small"
"1182","Fallece","1","male","adulto","Small"
"1183","Sobrevive","3","female","adulto","Small"
"1184","Fallece","3","male","adulto","Small"
"1185","Fallece","1","male","adulto","Medium"
"1186","Fallece","3","male","adulto","Small"
"1187","Fallece","3","male","joven","Small"
"1188","Sobrevive","2","female","bebe","Medium"
"1189","Fallece","3","male","adulto","Medium"
"1190","Fallece","1","male","adulto","Small"
"1191","Fallece","3","male","joven","Small"
"1192","Fallece","3","male","adulto","Small"
"1193","Fallece","2","male","adulto","Small"
"1194","Fallece","2","male","adulto","Medium"
"1195","Fallece","3","male","joven","Small"
"1196","Sobrevive","3","female","joven","Small"
"1197","Sobrevive","1","female","3edad","Medium"
"1198","Fallece","1","male","adulto","Medium"
"1199","Fallece","3","male","bebe","Medium"
"1200","Fallece","1","male","adulto","Medium"
"1201","Sobrevive","3","female","adulto","Medium"
"1202","Fallece","3","male","joven","Small"
"1203","Fallece","3","male","joven","Small"
"1204","Fallece","3","male","adulto","Small"
"1205","Sobrevive","3","female","adulto","Small"
"1206","Sobrevive","1","female","adulto","Small"
"1207","Sobrevive","3","female","adolescente","Small"
"1208","Fallece","1","male","3edad","Medium"
"1209","Fallece","2","male","joven","Small"
"1210","Fallece","3","male","joven","Small"
"1211","Fallece","2","male","joven","Medium"
"1212","Fallece","3","male","joven","Small"
"1213","Fallece","3","male","joven","Small"
"1214","Fallece","2","male","joven","Small"
"1215","Fallece","1","male","adulto","Small"
"1216","Sobrevive","1","female","adulto","Small"
"1217","Fallece","3","male","joven","Small"
"1218","Sobrevive","2","female","niño","Medium"
"1219","Fallece","1","male","adulto","Small"
"1220","Fallece","2","male","joven","Medium"
"1221","Fallece","2","male","joven","Small"
"1222","Sobrevive","2","female","adulto","Medium"
"1223","Fallece","1","male","adulto","Small"
"1224","Fallece","3","male","adulto","Small"
"1225","Sobrevive","3","female","joven","Medium"
"1226","Fallece","3","male","joven","Small"
"1227","Fallece","1","male","adulto","Small"
"1228","Fallece","2","male","adulto","Small"
"1229","Fallece","3","male","adulto","Medium"
"1230","Fallece","2","male","joven","Small"
"1231","Fallece","3","male","adulto","Small"
"1232","Fallece","2","male","joven","Small"
"1233","Fallece","3","male","adulto","Small"
"1234","Fallece","3","male","adulto","Big"
"1235","Sobrevive","1","female","3edad","Medium"
"1236","Fallece","3","male","adulto","Medium"
"1237","Sobrevive","3","female","adolescente","Small"
"1238","Fallece","2","male","joven","Small"
"1239","Sobrevive","3","female","adulto","Small"
"1240","Fallece","2","male","joven","Small"
"1241","Sobrevive","2","female","adulto","Small"
"1242","Sobrevive","1","female","adulto","Medium"
"1243","Fallece","2","male","joven","Small"
"1244","Fallece","2","male","joven","Small"
"1245","Fallece","2","male","adulto","Medium"
"1246","Sobrevive","3","female","bebe","Medium"
"1247","Fallece","1","male","adulto","Small"
"1248","Sobrevive","1","female","3edad","Medium"
"1249","Fallece","3","male","adulto","Small"
"1250","Fallece","3","male","adulto","Small"
"1251","Sobrevive","3","female","adulto","Medium"
"1252","Fallece","3","male","adolescente","Big"
"1253","Sobrevive","2","female","joven","Medium"
"1254","Sobrevive","2","female","adulto","Small"
"1255","Fallece","3","male","joven","Small"
"1256","Sobrevive","1","female","joven","Medium"
"1257","Sobrevive","3","female","joven","Big"
"1258","Fallece","3","male","adulto","Medium"
"1259","Sobrevive","3","female","joven","Small"
"1260","Sobrevive","1","female","adulto","Medium"
"1261","Fallece","2","male","joven","Small"
"1262","Fallece","2","male","joven","Medium"
"1263","Sobrevive","1","female","adulto","Small"
"1264","Fallece","1","male","adulto","Small"
"1265","Fallece","2","male","adulto","Small"
"1266","Sobrevive","1","female","adulto","Medium"
"1267","Sobrevive","1","female","adulto","Small"
"1268","Sobrevive","3","female","joven","Medium"
"1269","Fallece","2","male","joven","Small"
"1270","Fallece","1","male","adulto","Small"
"1271","Fallece","3","male","niño","Big"
"1272","Fallece","3","male","adulto","Small"
"1273","Fallece","3","male","joven","Small"
"1274","Sobrevive","3","female","joven","Small"
"1275","Sobrevive","3","female","joven","Medium"
"1276","Fallece","2","male","adulto","Small"
"1277","Sobrevive","2","female","joven","Medium"
"1278","Fallece","3","male","joven","Small"
"1279","Fallece","2","male","3edad","Small"
"1280","Fallece","3","male","joven","Small"
"1281","Fallece","3","male","niño","Big"
"1282","Fallece","1","male","joven","Small"
"1283","Sobrevive","1","female","adulto","Medium"
"1284","Fallece","3","male","adolescente","Medium"
"1285","Fallece","2","male","adulto","Small"
"1286","Fallece","3","male","joven","Big"
"1287","Sobrevive","1","female","joven","Medium"
"1288","Fallece","3","male","joven","Small"
"1289","Sobrevive","1","female","adulto","Medium"
"1290","Fallece","3","male","joven","Small"
"1291","Fallece","3","male","adulto","Small"
"1292","Sobrevive","1","female","adulto","Small"
"1293","Fallece","2","male","adulto","Medium"
"1294","Sobrevive","1","female","joven","Medium"
"1295","Fallece","1","male","adolescente","Small"
"1296","Fallece","1","male","adulto","Medium"
"1297","Fallece","2","male","joven","Small"
"1298","Fallece","2","male","joven","Medium"
"1299","Fallece","1","male","adulto","Medium"
"1300","Sobrevive","3","female","joven","Small"
"1301","Sobrevive","3","female","niño","Medium"
"1302","Sobrevive","3","female","joven","Small"
"1303","Sobrevive","1","female","adulto","Medium"
"1304","Sobrevive","3","female","joven","Small"
"1305","Fallece","3","male","adulto","Small"
"1306","Sobrevive","1","female","adulto","Small"
"1307","Fallece","3","male","adulto","Small"
"1308","Fallece","3","male","adulto","Small"
"1309","Fallece","3","male","adulto","Medium"
